	cog	ko	ko_name
814	COG0693	K05520	protease I [EC:3.5.1.124]
815	COG1764	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]
816	COG1926	K07100	putative phosphoribosyl transferase
817	COG0406	K15634	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
818	COG0366	K01208	cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]
819	COG1459	K02653	type IV pilus assembly protein PilC
820	COG0170	K18678	phytol kinase [EC:2.7.1.182]
821	COG5598	K14083	trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
822	COG5012	K14084	trimethylamine corrinoid protein
823	COG0266	K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
824	COG0433	K06915	DNA double-strand break repair helicase HerA and related ATPase
825	COG0699	K06946	uncharacterized protein
826	COG1304	K16422	4-hydroxymandelate oxidase [EC:1.1.3.46]
827	COG3383	K05299	formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]
828	COG0148	K01689	enolase [EC:4.2.1.11]
829	COG0029	K00278	L-aspartate oxidase [EC:1.4.3.16]
830	COG3956	K02499	tetrapyrrole methylase family protein / MazG family protein
831	COG1694	K02499	tetrapyrrole methylase family protein / MazG family protein
832	COG1584	K07034	uncharacterized protein
833	COG1877	K01087	trehalose 6-phosphate phosphatase [EC:3.1.3.12]
834	COG0380	K00697	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
835	COG3476	K05770	translocator protein
836	COG0824	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
837	COG0825	K01962	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
838	COG1086	K13013	O-antigen biosynthesis protein WbqV
839	COG3256	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]
840	COG0668	K03442	small conductance mechanosensitive channel
841	COG3569	K03163	DNA topoisomerase I [EC:5.6.2.1]
842	COG1724	K07339	mRNA interferase HicA [EC:3.1.-.-]
843	COG1450	K02453	general secretion pathway protein D
844	COG3880	K19411	protein arginine kinase activator
845	COG4531	K00185	dimethyl sulfoxide reductase membrane subunit
846	COG1999	K07152	protein SCO1
847	COG1622	K02275	cytochrome c oxidase subunit II [EC:7.1.1.9]
848	COG0843	K02274	cytochrome c oxidase subunit I [EC:7.1.1.9]
849	COG1845	K02276	cytochrome c oxidase subunit III [EC:7.1.1.9]
850	COG1612	K02259	heme a synthase [EC:1.17.99.9]
851	COG0109	K02257	heme o synthase [EC:2.5.1.141]
852	COG0556	K03702	excinuclease ABC subunit B
853	COG0151	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]
854	COG1966	K06200	carbon starvation protein
855	COG0681	K03100	signal peptidase I [EC:3.4.21.89]
856	COG0286	K03427	type I restriction enzyme M protein [EC:2.1.1.72]
857	COG0481	K03596	GTP-binding protein LepA
858	COG0203	K02879	large subunit ribosomal protein L17
859	COG0202	K03040	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
860	COG0522	K02986	small subunit ribosomal protein S4
861	COG0100	K02948	small subunit ribosomal protein S11
862	COG0099	K02952	small subunit ribosomal protein S13
863	COG0257	K02919	large subunit ribosomal protein L36
864	COG0361	K02518	translation initiation factor IF-1
865	COG0024	K01265	methionyl aminopeptidase [EC:3.4.11.18]
866	COG0563	K00939	adenylate kinase [EC:2.7.4.3]
867	COG0201	K03076	preprotein translocase subunit SecY
868	COG0200	K02876	large subunit ribosomal protein L15
869	COG1841	K02907	large subunit ribosomal protein L30
870	COG0098	K02988	small subunit ribosomal protein S5
871	COG0256	K02881	large subunit ribosomal protein L18
872	COG0097	K02933	large subunit ribosomal protein L6
873	COG0096	K02994	small subunit ribosomal protein S8
874	COG0199	K02954	small subunit ribosomal protein S14
875	COG0094	K02931	large subunit ribosomal protein L5
876	COG0198	K02895	large subunit ribosomal protein L24
877	COG0093	K02874	large subunit ribosomal protein L14
878	COG0186	K02961	small subunit ribosomal protein S17
879	COG0255	K02904	large subunit ribosomal protein L29
880	COG0197	K02878	large subunit ribosomal protein L16
881	COG0092	K02982	small subunit ribosomal protein S3
882	COG0091	K02890	large subunit ribosomal protein L22
883	COG0185	K02965	small subunit ribosomal protein S19
884	COG0090	K02886	large subunit ribosomal protein L2
885	COG0089	K02892	large subunit ribosomal protein L23
886	COG0088	K02926	large subunit ribosomal protein L4
887	COG0087	K02906	large subunit ribosomal protein L3
888	COG0051	K02946	small subunit ribosomal protein S10
889	COG0050	K02358	elongation factor Tu
890	COG0188	K02469	DNA gyrase subunit A [EC:5.6.2.2]
891	COG2344	K01926	redox-sensing transcriptional repressor
892	COG2382	K07214	iron(III)-enterobactin esterase [EC:3.1.1.108]
893	COG0125	K00943	dTMP kinase [EC:2.7.4.9]
894	COG1088	K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
895	COG1785	K01077	alkaline phosphatase [EC:3.1.3.1]
896	COG0709	K01008	selenide, water dikinase [EC:2.7.9.3]
897	COG2207	K07720	two-component system, response regulator YesN
898	COG3449	K13652	AraC family transcriptional regulator
899	COG0297	K00703	starch synthase [EC:2.4.1.21]
900	COG0803	K09815	zinc transport system substrate-binding protein
901	COG1121	K09817	zinc transport system ATP-binding protein [EC:7.2.2.20]
902	COG1108	K09816	zinc transport system permease protein
903	COG3579	K01372	bleomycin hydrolase [EC:3.4.22.40]
904	COG2810	K07504	predicted type IV restriction endonuclease
905	COG1327	K07738	transcriptional repressor NrdR
906	COG2131	K01493	dCMP deaminase [EC:3.5.4.12]
907	COG0667	K05882	aryl-alcohol dehydrogenase (NADP+) [EC:1.1.1.91]
908	COG2972	K07718	two-component system, sensor histidine kinase YesM [EC:2.7.13.3]
909	COG2804	K02652	type IV pilus assembly protein PilB
910	COG4796	K02666	type IV pilus assembly protein PilQ
911	COG4972	K02662	type IV pilus assembly protein PilM
912	COG4726	K02673	type IV pilus assembly protein PilX
913	COG2805	K02669	twitching motility protein PilT
914	COG4249	K22684	metacaspase-1 [EC:3.4.22.-]
915	COG0792	K07460	putative endonuclease
916	COG0164	K03470	ribonuclease HII [EC:3.1.26.4]
917	COG0658	K02238	competence protein ComEC
918	COG4589	K00981	phosphatidate cytidylyltransferase [EC:2.7.7.41]
919	COG1891	K09733	(5-formylfuran-3-yl)methyl phosphate synthase [EC:4.2.3.153]
920	COG4651	K03455	monovalent cation:H+ antiporter-2, CPA2 family
921	COG1226	K03455	monovalent cation:H+ antiporter-2, CPA2 family
922	COG2986	K01745	histidine ammonia-lyase [EC:4.3.1.3]
923	COG0068	K04656	hydrogenase maturation protein HypF
924	COG0355	K02114	F-type H+-transporting ATPase subunit epsilon
925	COG0055	K02133	F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]
926	COG0056	K02111	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
927	COG0712	K02113	F-type H+-transporting ATPase subunit delta
928	COG0711	K02109	F-type H+-transporting ATPase subunit b
929	COG0636	K02110	F-type H+-transporting ATPase subunit c
930	COG0356	K02108	F-type H+-transporting ATPase subunit a
931	COG0525	K01873	valyl-tRNA synthetase [EC:6.1.1.9]
932	COG1376	K16291	L,D-transpeptidase ErfK/SrfK
933	COG1291	K02556	chemotaxis protein MotA
934	COG1360	K02557	chemotaxis protein MotB
935	COG1220	K03667	ATP-dependent HslUV protease ATP-binding subunit HslU
936	COG5405	K01419	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]
937	COG2155	K09779	uncharacterized protein
938	COG3667	K07233	copper resistance protein B
939	COG2132	K22552	multicopper oxidase [EC:1.16.3.1]
940	COG1193	K07456	DNA mismatch repair protein MutS2
941	COG1800	K07218	nitrous oxidase accessory protein
942	COG3387	K22934	alpha,alpha-trehalase [EC:3.2.1.28]
943	COG1490	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
944	COG1282	K00325	H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
945	COG3288	K00324	H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
946	COG2217	K17686	P-type Cu+ transporter [EC:7.2.2.8]
947	COG3568	K06896	maltose 6'-phosphate phosphatase [EC:3.1.3.90]
948	COG1971	K23242	manganese efflux pump family protein
949	COG1809	K08097	phosphosulfolactate synthase [EC:4.4.1.19]
950	COG2079	K17724	aconitate decarboxylase [EC:4.1.1.6]
951	COG1525	K01174	micrococcal nuclease [EC:3.1.31.1]
952	COG1830	K11645	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
953	COG2195	K01258	tripeptide aminopeptidase [EC:3.4.11.4]
954	COG0359	K02939	large subunit ribosomal protein L9
955	COG0238	K02963	small subunit ribosomal protein S18
956	COG0629	K03111	single-strand DNA-binding protein
957	COG0360	K02990	small subunit ribosomal protein S6
958	COG3808	K15987	K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.1.3.2]
959	COG0193	K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
960	COG1825	K02897	large subunit ribosomal protein L25
961	COG0462	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
962	COG2088	K06412	stage V sporulation protein G
963	COG1947	K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
964	COG1674	K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
965	COG2045	K05979	2-phosphosulfolactate phosphatase [EC:3.1.3.71]
966	COG0404	K00605	aminomethyltransferase [EC:2.1.2.10]
967	COG0536	K03979	GTPase [EC:3.6.5.-]
968	COG0409	K04654	hydrogenase expression/formation protein HypD
969	COG0298	K04653	hydrogenase expression/formation protein HypC
970	COG0178	K03701	excinuclease ABC subunit A
971	COG2096	K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]
972	COG0309	K04655	hydrogenase expression/formation protein HypE
973	COG1725	K07979	GntR family transcriptional regulator
974	COG0235	K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]
975	COG0569	K03499	trk/ktr system potassium uptake protein
976	COG0168	K03498	trk/ktr system potassium uptake protein
977	COG0533	K01409	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
978	COG1814	K22736	vacuolar iron transporter family protein
979	COG1080	K01006	pyruvate, orthophosphate dikinase [EC:2.7.9.1]
980	COG1641	K09121	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]
981	COG0245	K12506	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]
982	COG1211	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
983	COG0809	K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
984	COG1895	K09132	uncharacterized protein
985	COG0046	K23269	phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]
986	COG2985	K07085	putative transport protein
987	COG1832	K06929	uncharacterized protein
988	COG2730	K05991	endoglycosylceramidase [EC:3.2.1.123]
989	COG1051	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]
990	COG5009	K05366	penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
991	COG2908	K03269	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]
992	COG2109	K19221	cob(I)alamin adenosyltransferase [EC:2.5.1.17]
993	COG0822	K04488	nitrogen fixation protein NifU and related proteins
994	COG1636	K09765	epoxyqueuosine reductase [EC:1.17.99.6]
995	COG0301	K03151	tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
996	COG2151	K02612	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
997	COG0122	K01247	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
998	COG1516	K02422	flagellar secretion chaperone FliS
999	COG1345	K02407	flagellar hook-associated protein 2
1000	COG3121	K07346	fimbrial chaperone protein
1001	COG0312	K03568	TldD protein
1002	COG1575	K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]
1003	COG2846	K07322	regulator of cell morphogenesis and NO signaling
1004	COG2511	K03330	glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]
1005	COG1260	K01858	myo-inositol-1-phosphate synthase [EC:5.5.1.4]
1006	COG0483	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
1007	COG1826	K03116	sec-independent protein translocase protein TatA
1008	COG0564	K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
1009	COG0318	K00666	fatty-acyl-CoA synthase [EC:6.2.1.-]
1010	COG2876	K03856	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
1011	COG0180	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2]
1012	COG1354	K05896	segregation and condensation protein A
1013	COG1386	K06024	segregation and condensation protein B
1014	COG0283	K00945	CMP/dCMP kinase [EC:2.7.4.25]
1015	COG0204	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
1016	COG0761	K03527	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
1017	COG0539	K02945	small subunit ribosomal protein S1
1018	COG2223	K02575	MFS transporter, NNP family, nitrate/nitrite transporter
1019	COG1940	K00845	glucokinase [EC:2.7.1.2]
1020	COG1392	K07220	uncharacterized protein
1021	COG0306	K03306	inorganic phosphate transporter, PiT family
1022	COG0142	K02523	octaprenyl-diphosphate synthase [EC:2.5.1.90]
1023	COG0545	K03772	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
1024	COG4690	K08659	dipeptidase [EC:3.4.-.-]
1025	COG1475	K03497	ParB family transcriptional regulator, chromosome partitioning protein
1026	COG1192	K03496	chromosome partitioning protein
1027	COG1200	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]
1028	COG2270	K06902	MFS transporter, UMF1 family
1029	COG0239	K06199	fluoride exporter
1030	COG1993	K09137	uncharacterized protein
1031	COG0365	K01895	acetyl-CoA synthetase [EC:6.2.1.1]
1032	COG0527	K00928	aspartate kinase [EC:2.7.2.4]
1033	COG0289	K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
1034	COG0329	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
1035	COG0279	K03271	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
1036	COG0241	K03273	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
1037	COG1562	K02291	15-cis-phytoene synthase [EC:2.5.1.32]
1038	COG1109	K01840	phosphomannomutase [EC:5.4.2.8]
1039	COG1152	K00192	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
1040	COG0324	K00791	tRNA dimethylallyltransferase [EC:2.5.1.75]
1041	COG1989	K02654	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
1042	COG1951	K01677	fumarate hydratase subunit alpha [EC:4.2.1.2]
1043	COG3155	K05520	protease I [EC:3.5.1.124]
1044	COG0039	K00024	malate dehydrogenase [EC:1.1.1.37]
1045	COG0211	K02899	large subunit ribosomal protein L27
1046	COG0261	K02888	large subunit ribosomal protein L21
1047	COG1858	K00428	cytochrome c peroxidase [EC:1.11.1.5]
1048	COG3593	K07459	putative ATP-dependent endonuclease of the OLD family
1049	COG0587	K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]
1050	COG0162	K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]
1051	COG0691	K03664	SsrA-binding protein
1052	COG0249	K03555	DNA mismatch repair protein MutS
1053	COG4232	K04084	thioredoxin:protein disulfide reductase [EC:1.8.4.16]
1054	COG3688	K06962	uncharacterized protein
1055	COG4231	K00179	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
1056	COG1024	K01715	enoyl-CoA hydratase [EC:4.2.1.17]
1057	COG0476	K21147	sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]
1058	COG1519	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
1059	COG0450	K03386	peroxiredoxin 2/4 [EC:1.11.1.24]
1060	COG1335	K09020	ureidoacrylate peracid hydrolase [EC:3.5.1.110]
1061	COG3837	K07155	quercetin 2,3-dioxygenase [EC:1.13.11.24]
1062	COG2154	K01724	4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]
1063	COG1322	K09760	DNA recombination protein RmuC
1064	COG1357	K15352	secreted effector protein PipB2
1065	COG3426	K00929	butyrate kinase [EC:2.7.2.7]
1066	COG0079	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]
1067	COG0173	K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]
1068	COG1045	K00640	serine O-acetyltransferase [EC:2.3.1.30]
1069	COG0031	K01738	cysteine synthase [EC:2.5.1.47]
1070	COG0012	K19788	obg-like ATPase 1
1071	COG0842	K13926	ribosome-dependent ATPase
1072	COG0643	K03407	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
1073	COG2198	K03407	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
1074	COG0835	K03408	purine-binding chemotaxis protein CheW
1075	COG0840	K03406	methyl-accepting chemotaxis protein
1076	COG1871	K03411	chemotaxis protein CheD [EC:3.5.1.44]
1077	COG3706	K02488	two-component system, cell cycle response regulator [EC:2.7.7.65]
1078	COG2199	K02488	two-component system, cell cycle response regulator [EC:2.7.7.65]
1079	COG1406	K03409	chemotaxis protein CheX
1080	COG1691	K06898	pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]
1081	COG0042	K05540	tRNA-dihydrouridine synthase B [EC:1.-.-.-]
1082	COG1259	K08999	uncharacterized protein
1083	COG0227	K02902	large subunit ribosomal protein L28
1084	COG1792	K03570	rod shape-determining protein MreC
1085	COG1077	K03569	rod shape-determining protein MreB and related proteins
1086	COG0138	K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
1087	COG0299	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
1088	COG0423	K01880	glycyl-tRNA synthetase [EC:6.1.1.14]
1089	COG0073	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]
1090	COG0143	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]
1091	COG0065	K01702	3-isopropylmalate dehydratase [EC:4.2.1.33]
1092	COG0066	K16793	methanogen homoaconitase small subunit [EC:4.2.1.114]
1093	COG4656	K03615	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2]
1094	COG0634	K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
1095	COG0422	K03147	phosphomethylpyrimidine synthase [EC:4.1.99.17]
1096	COG0617	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
1097	COG2391	K07112	uncharacterized protein
1098	COG0798	K03325	arsenite transporter
1099	COG1566	K03543	membrane fusion protein, multidrug efflux system
1100	COG5499	K18831	HTH-type transcriptional regulator / antitoxin HigA
1101	COG1236	K07576	metallo-beta-lactamase family protein
1102	COG0405	K00681	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
1103	COG0427	K18122	4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]
1104	COG1488	K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21]
1105	COG0063	K17758	ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
1106	COG0062	K17758	ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
1107	COG5652	K20950	polysaccharide biosynthesis protein VpsQ
1108	COG1022	K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]
1109	COG0782	K03624	transcription elongation factor GreA
1110	COG1983	K03973	phage shock protein C
1111	COG0337	K01735	3-dehydroquinate synthase [EC:4.2.3.4]
1112	COG2206	K07814	cyclic di-GMP phosphodiesterase [EC:3.1.4.-]
1113	COG0757	K03786	3-dehydroquinate dehydratase II [EC:4.2.1.10]
1114	COG3146	K09919	uncharacterized protein
1115	COG1574	K07047	N-substituted formamide deformylase [EC:3.5.1.91]
1116	COG0688	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]
1117	COG1183	K17103	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
1118	COG1828	K23264	phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]
1119	COG0047	K23265	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]
1120	COG0805	K03118	sec-independent protein translocase protein TatC
1121	COG0154	K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
1122	COG0064	K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
1123	COG4555	K09697	sodium transport system ATP-binding protein [EC:7.2.2.4]
1124	COG1668	K09696	sodium transport system permease protein
1125	COG2110	K15261	poly [ADP-ribose] polymerase 10/14/15 [EC:2.4.2.30]
1126	COG2379	K11529	glycerate 2-kinase [EC:2.7.1.165]
1127	COG2971	K18676	glucosamine kinase [EC:2.7.1.8]
1128	COG0725	K02020	molybdate transport system substrate-binding protein
1129	COG0538	K00031	isocitrate dehydrogenase [EC:1.1.1.42]
1130	COG4692	K23083	3-deoxy-D-manno-octulosonic acid-hydrolase
1131	COG0295	K01489	cytidine deaminase [EC:3.5.4.5]
1132	COG0572	K00876	uridine kinase [EC:2.7.1.48]
1133	COG1435	K00857	thymidine kinase [EC:2.7.1.21]
1134	COG4359	K08966	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]
1135	COG1765	K07397	putative redox protein
1136	COG2068	K07141	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
1137	COG1463	K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
1138	COG3444	K02794	mannose PTS system EIIAB component [EC:2.7.1.191]
1139	COG2893	K02793	mannose PTS system EIIA component [EC:2.7.1.191]
1140	COG1493	K06023	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
1141	COG1544	K05808	putative sigma-54 modulation protein
1142	COG4974	K04763	integrase/recombinase XerD
1143	COG0550	K03168	DNA topoisomerase I [EC:5.6.2.1]
1144	COG2922	K03747	Smg protein
1145	COG0653	K03070	preprotein translocase subunit SecA [EC:7.4.2.8]
1146	COG0639	K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]
1147	COG0223	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]
1148	COG2738	K06973	uncharacterized protein
1149	COG0781	K03625	transcription antitermination protein NusB
1150	COG0144	K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
1151	COG2815	K08884	serine/threonine protein kinase, bacterial [EC:2.7.11.1]
1152	COG0036	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
1153	COG1600	K18979	epoxyqueuosine reductase [EC:1.17.99.6]
1154	COG2027	K07259	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
1155	COG3643	K00603	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]
1156	COG3404	K01500	methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]
1157	COG0323	K03572	DNA mismatch repair protein MutL
1158	COG0623	K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
1159	COG2510	K08978	bacterial/archaeal transporter family protein
1160	COG3049	K01442	choloylglycine hydrolase [EC:3.5.1.24]
1161	COG1197	K03723	transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
1162	COG1247	K03823	phosphinothricin acetyltransferase [EC:2.3.1.183]
1163	COG1853	K16048	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component [EC:1.5.1.-]
1164	COG1672	K06921	uncharacterized protein
1165	COG4786	K02392	flagellar basal-body rod protein FlgG
1166	COG1256	K02396	flagellar hook-associated protein 1
1167	COG3951	K02395	peptidoglycan hydrolase FlgJ
1168	COG1706	K02394	flagellar P-ring protein FlgI
1169	COG0267	K02913	large subunit ribosomal protein L33
1170	COG0690	K03073	preprotein translocase subunit SecE
1171	COG0250	K02601	transcription termination/antitermination protein NusG
1172	COG0080	K02867	large subunit ribosomal protein L11
1173	COG0081	K02863	large subunit ribosomal protein L1
1174	COG0244	K02864	large subunit ribosomal protein L10
1175	COG0222	K02935	large subunit ribosomal protein L7/L12
1176	COG0085	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
1177	COG0086	K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
1178	COG0048	K02950	small subunit ribosomal protein S12
1179	COG0049	K02992	small subunit ribosomal protein S7
1180	COG3088	K02200	cytochrome c-type biogenesis protein CcmH
1181	COG1618	K06928	nucleoside-triphosphatase [EC:3.6.1.15]
1182	COG0078	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]
1183	COG0425	K04085	tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]
1184	COG1387	K02347	DNA polymerase (family X)
1185	COG3523	K11891	type VI secretion system protein ImpL
1186	COG3455	K11892	type VI secretion system protein ImpK
1187	COG3522	K11893	type VI secretion system protein ImpJ
1188	COG3521	K11906	type VI secretion system protein VasD
1189	COG2877	K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
1190	COG3294	K09163	uncharacterized protein
1191	COG4365	K22136	bacillithiol synthase
1192	COG1522	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
1193	COG0499	K01251	adenosylhomocysteinase [EC:3.13.2.1]
1194	COG0192	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]
1195	COG2222	K15916	glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
1196	COG1925	K11189	KO not found in KEGG
1197	COG3716	K02796	mannose PTS system EIID component
1198	COG3715	K02795	mannose PTS system EIIC component
1199	COG0403	K00282	glycine dehydrogenase subunit 1 [EC:1.4.4.2]
1200	COG0439	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
1201	COG0511	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein
1202	COG0231	K02356	elongation factor P
1203	COG3507	K06113	arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]
1204	COG0272	K01972	DNA ligase (NAD+) [EC:6.5.1.2]
1205	COG0795	K11720	lipopolysaccharide export system permease protein
1206	COG2153	K02348	ElaA protein
1207	COG2031	K02106	short-chain fatty acids transporter
1208	COG1788	K01039	glutaconate CoA-transferase, subunit A [EC:2.8.3.12]
1209	COG2057	K01040	glutaconate CoA-transferase, subunit B [EC:2.8.3.12]
1210	COG0183	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
1211	COG0115	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]
1212	COG1396	K19449	XRE family transcriptional regulator, master regulator for biofilm formation
